Semana,Prenda,Unidades
38,JEANS,397
38,JOGGER,47
38,PANTALON COLOR,145
38,POLOS,66
38,TAPABOCAS,4
38,VESTIDOS,6
39,BERMUDA,4
39,BLUSAS,59
39,BUSOS,15
39,CAMIBUSOS,17
39,CAMISAS,93
39,CAMISETAS,76
39,CHAQUETAS,12
39,CORREAS,7
39,JEANS,355
39,JOGGER,36
39,PANTALON COLOR,142
39,POLOS,47
39,SHORT,1
39,TAPABOCAS,3
39,VESTIDOS,11
40,BERMUDA,4
40,BLUSAS,46
40,BUSOS,7
40,CAMIBUSOS,16
40,CAMISAS,64
40,CAMISETAS,61
40,CHAQUETAS,14
40,CORREAS,4
40,JEANS,304
40,JOGGER,31
40,PANTALON COLOR,136
40,POLOS,48
40,TAPABOCAS,7
40,VESTIDOS,3
41,BERMUDA,4
41,BLUSAS,64
41,BUSOS,4
41,CAMIBUSOS,17
41,CAMISAS,80
41,CAMISETAS,51
41,CHAQUETAS,9
41,CORREAS,6
41,JEANS,384
41,JOGGER,34
41,PANTALON COLOR,191
41,POLOS,37
41,TAPABOCAS,9
41,VESTIDOS,1
42,BERMUDA,8
42,BLUSAS,81
42,BUSOS,4
42,CAMIBUSOS,23
42,CAMISAS,88
42,CAMISETAS,74
42,CHAQUETAS,7
42,CORREAS,4
42,JEANS,428
42,JOGGER,33
42,PANTALON COLOR,173
42,POLOS,41
42,TAPABOCAS,5
42,VESTIDOS,4
43,BERMUDA,3
43,BLUSAS,58
43,BUSOS,1
43,CAMIBUSOS,22
43,CAMISAS,77
43,CAMISETAS,61
43,CHAQUETAS,5
43,CORREAS,5
43,JEANS,446
43,JOGGER,31
43,PANTALON COLOR,199
43,POLOS,66
43,TAPABOCAS,2
43,VESTIDOS,3
44,BERMUDA,5
44,BLUSAS,53
44,BUSOS,1
44,CAMIBUSOS,16
44,CAMISAS,84
44,CAMISETAS,74
44,CHAQUETAS,5
44,CORREAS,2
44,JEANS,410
44,JOGGER,44
44,PANTALON COLOR,190
44,POLOS,47
44,VESTIDOS,8
45,BERMUDA,9
45,BLUSAS,52
45,BUSOS,3
45,CAMIBUSOS,17
45,CAMISAS,85
45,CAMISETAS,45
45,CHAQUETAS,8
45,CORREAS,4
45,JEANS,399
45,JOGGER,40
45,PANTALON COLOR,172
45,POLOS,43
45,VESTIDOS,5
46,BERMUDA,3
46,BLUSAS,59
46,BUSOS,4
46,CAMIBUSOS,25
46,CAMISAS,94
46,CAMISETAS,63
46,CHAQUETAS,5
46,CORREAS,2
46,JEANS,447
46,JOGGER,37
46,PANTALON COLOR,208
46,POLOS,54
46,TAPABOCAS,1
46,VESTIDOS,5
47,BERMUDA,7
47,BLUSAS,69
47,BUSOS,8
47,CAMIBUSOS,19
47,CAMISAS,119
47,CAMISETAS,83
47,CHAQUETAS,6
47,CORREAS,3
47,JEANS,613
47,JOGGER,81
47,PANTALON COLOR,210
47,POLOS,59
47,TAPABOCAS,2
47,VESTIDOS,3
48,BERMUDA,7
48,BLUSAS,86
48,BUSOS,9
48,CAMIBUSOS,25
48,CAMISAS,146
48,CAMISETAS,117
48,CHAQUETAS,5
48,CORREAS,3
48,JEANS,689
48,JOGGER,81
48,PANTALON COLOR,267
48,POLOS,66
48,TAPABOCAS,11
48,VESTIDOS,4
49,BERMUDA,14
49,BLUSAS,114
49,BUSOS,20
49,CAMIBUSOS,41
49,CAMISAS,257
49,CAMISETAS,180
49,CHAQUETAS,9
49,CORREAS,5
49,JEANS,1135
49,JOGGER,126
49,PANTALON COLOR,391
49,POLOS,119
49,TAPABOCAS,17
49,VESTIDOS,6
50,BERMUDA,8
50,BLUSAS,157
50,BUSOS,33
50,CAMIBUSOS,39
50,CAMISAS,333
50,CAMISETAS,203
50,CHAQUETAS,16
50,CORREAS,7
50,JEANS,1238
50,JOGGER,130
50,PANTALON COLOR,464
50,POLOS,150
50,TAPABOCAS,16
50,VESTIDOS,4
51,BERMUDA,13
51,BLUSAS,182
51,BUSOS,39
51,CAMIBUSOS,63
51,CAMISAS,374
51,CAMISETAS,331
51,CHAQUETAS,15
51,CORREAS,5
51,JEANS,1481
51,JOGGER,140
51,PANTALON COLOR,591
51,POLOS,234
51,TAPABOCAS,19
51,VESTIDOS,6
52,BERMUDA,18
52,BLUSAS,245
52,BUSOS,53
52,CAMIBUSOS,85
52,CAMISAS,422
52,CAMISETAS,490
52,CHAQUETAS,15
52,CORREAS,16
52,JEANS,1878
52,JOGGER,156
52,PANTALON COLOR,677
52,POLOS,332
52,TAPABOCAS,18
52,VESTIDOS,13
53,BERMUDA,18
53,BLUSAS,120
53,BUSOS,18
53,CAMIBUSOS,37
53,CAMISAS,172
53,CAMISETAS,177
53,CHAQUETAS,5
53,CORREAS,5
53,JEANS,873
53,JOGGER,69
53,PANTALON COLOR,344
53,POLOS,112
53,TAPABOCAS,8
53,VESTIDOS,4
