Date,UNIDADES
06/03/2022,11
09/03/2022,5
08/03/2022,37
18/03/2022,5
15/03/2022,6
17/03/2022,5
14/03/2022,1
19/03/2022,9
16/03/2022,7
13/03/2022,2
25/03/2022,3
20/03/2022,7
24/03/2022,4
23/03/2022,4
26/03/2022,10
22/03/2022,6
21/03/2022,4
31/03/2022,12
30/03/2022,4
02/04/2022,12
01/04/2022,17
28/03/2022,9
29/03/2022,14
27/03/2022,8
05/04/2022,8
08/04/2022,7
07/04/2022,16
09/04/2022,16
04/04/2022,6
06/04/2022,5
03/04/2022,9
14/04/2022,2
11/04/2022,7
10/04/2022,12
15/04/2022,3
16/04/2022,11
13/04/2022,13
12/04/2022,12
18/04/2022,2
19/04/2022,11
21/04/2022,13
17/04/2022,6
22/04/2022,5
20/04/2022,5
23/04/2022,15
26/04/2022,4
24/04/2022,6
27/04/2022,9
29/04/2022,10
25/04/2022,6
28/04/2022,5
30/04/2022,18
04/05/2022,8
07/05/2022,62
01/05/2022,25
02/05/2022,7
05/05/2022,14
06/05/2022,22
03/05/2022,6
10/05/2022,6
12/05/2022,3
09/05/2022,4
11/05/2022,5
13/05/2022,9
14/05/2022,15
08/05/2022,23
17/05/2022,4
20/05/2022,8
15/05/2022,12
18/05/2022,8
16/05/2022,2
21/05/2022,18
19/05/2022,11
25/05/2022,8
22/05/2022,13
28/05/2022,25
26/05/2022,9
23/05/2022,9
24/05/2022,5
27/05/2022,13
02/06/2022,1
29/05/2022,11
30/05/2022,8
01/06/2022,11
03/06/2022,11
04/06/2022,7
31/05/2022,8
07/06/2022,10
10/06/2022,8
09/06/2022,4
05/06/2022,5
06/06/2022,1
11/06/2022,13
08/06/2022,5
12/06/2022,12
18/06/2022,26
15/06/2022,4
16/06/2022,8
13/06/2022,3
14/06/2022,9
17/06/2022,30
20/06/2022,12
23/06/2022,6
25/06/2022,14
22/06/2022,8
19/06/2022,7
24/06/2022,8
21/06/2022,6
01/07/2022,22
28/06/2022,2
02/07/2022,8
29/06/2022,2
26/06/2022,3
30/06/2022,4
27/06/2022,11
06/07/2022,7
08/07/2022,7
03/07/2022,10
09/07/2022,11
05/07/2022,13
04/07/2022,6
07/07/2022,7
14/07/2022,6
16/07/2022,4
10/07/2022,5
13/07/2022,4
12/07/2022,5
15/07/2022,7
21/07/2022,2
18/07/2022,3
19/07/2022,12
17/07/2022,12
20/07/2022,2
22/07/2022,5
23/07/2022,2
27/07/2022,5
30/07/2022,13
24/07/2022,7
26/07/2022,2
29/07/2022,6
28/07/2022,11
25/07/2022,7
02/08/2022,5
05/08/2022,1
04/08/2022,4
01/08/2022,22
31/07/2022,8
03/08/2022,5
06/08/2022,9
10/08/2022,1
09/08/2022,7
12/08/2022,14
13/08/2022,18
07/08/2022,9
08/08/2022,9
11/08/2022,5
15/08/2022,6
18/08/2022,4
20/08/2022,7
19/08/2022,6
17/08/2022,5
14/08/2022,2
16/08/2022,7
22/08/2022,3
25/08/2022,8
23/08/2022,2
27/08/2022,8
24/08/2022,5
21/08/2022,11
28/08/2022,6
01/09/2022,14
02/09/2022,5
03/09/2022,3
31/08/2022,4
29/08/2022,5
07/09/2022,5
04/09/2022,7
06/09/2022,5
09/09/2022,5
10/09/2022,16
05/09/2022,4
08/09/2022,10
12/09/2022,4
15/09/2022,5
16/09/2022,11
13/09/2022,6
11/09/2022,9
17/09/2022,9
14/09/2022,11
23/09/2022,7
20/09/2022,5
19/09/2022,5
22/09/2022,4
24/09/2022,8
21/09/2022,11
18/09/2022,8
28/09/2022,8
25/09/2022,8
30/09/2022,4
29/09/2022,7
26/09/2022,4
27/09/2022,4
