SEMANA,TIENDA,PRENDA,UNIDADES
3,GUAYABAL,TAPABOCAS,12
3,GUAYABAL,VESTIDOS,1
3,LA CENTRAL,BLUSAS,14
3,LA CENTRAL,BUSOS,4
3,LA CENTRAL,CAMIBUSOS,2
3,LA CENTRAL,CAMISAS,14
3,LA CENTRAL,CAMISETAS,14
3,LA CENTRAL,CHAQUETAS,1
3,LA CENTRAL,JEANS,91
3,LA CENTRAL,JOGGER,4
3,LA CENTRAL,PANTALON COLOR,51
3,LA CENTRAL,POLOS,11
3,LA CENTRAL,TAPABOCAS,1
3,LA CENTRAL,VESTIDOS,1
3,MARINILLA,BERMUDA,1
3,MARINILLA,BLUSAS,12
3,MARINILLA,BUSOS,3
3,MARINILLA,CAMIBUSOS,1
3,MARINILLA,CAMISAS,11
3,MARINILLA,CAMISETAS,11
3,MARINILLA,CORREAS,2
3,MARINILLA,JEANS,54
3,MARINILLA,JOGGER,4
3,MARINILLA,PANTALON COLOR,16
3,MARINILLA,POLOS,12
3,MARINILLA,TAPABOCAS,8
3,MARINILLA,VESTIDOS,1
3,MAYORCA 1,BLUSAS,22
3,MAYORCA 1,BUSOS,2
3,MAYORCA 1,CAMIBUSOS,4
3,MAYORCA 1,CAMISAS,21
3,MAYORCA 1,CAMISETAS,19
3,MAYORCA 1,CHAQUETAS,2
3,MAYORCA 1,CORREAS,2
3,MAYORCA 1,JEANS,147
3,MAYORCA 1,JOGGER,9
3,MAYORCA 1,PANTALON COLOR,70
3,MAYORCA 1,POLOS,17
3,MAYORCA 1,TAPABOCAS,3
3,MAYORCA 1,VESTIDOS,1
3,MAYORCA 2,BLUSAS,35
3,MAYORCA 2,BUSOS,5
3,MAYORCA 2,CAMIBUSOS,4
3,MAYORCA 2,CAMISAS,27
3,MAYORCA 2,CAMISETAS,27
3,MAYORCA 2,CHAQUETAS,3
3,MAYORCA 2,CORREAS,1
3,MAYORCA 2,JEANS,165
3,MAYORCA 2,JOGGER,19
3,MAYORCA 2,PANTALON COLOR,80
3,MAYORCA 2,POLOS,18
3,MAYORCA 2,TAPABOCAS,3
3,MAYORCA 2,VESTIDOS,2
3,MOLINOS 1,BERMUDA,2
3,MOLINOS 1,BLUSAS,45
3,MOLINOS 1,BUSOS,4
3,MOLINOS 1,CAMIBUSOS,12
3,MOLINOS 1,CAMISAS,51
3,MOLINOS 1,CAMISETAS,42
3,MOLINOS 1,CHAQUETAS,3
3,MOLINOS 1,CORREAS,3
3,MOLINOS 1,JEANS,264
3,MOLINOS 1,JOGGER,18
3,MOLINOS 1,PANTALON COLOR,139
3,MOLINOS 1,POLOS,31
3,MOLINOS 1,TAPABOCAS,5
3,MOLINOS 1,VESTIDOS,3
3,PARQUE LA CEJA,BLUSAS,19
3,PARQUE LA CEJA,BUSOS,6
3,PARQUE LA CEJA,CAMIBUSOS,4
3,PARQUE LA CEJA,CAMISAS,22
3,PARQUE LA CEJA,CAMISETAS,13
3,PARQUE LA CEJA,CHAQUETAS,1
3,PARQUE LA CEJA,JEANS,74
3,PARQUE LA CEJA,JOGGER,12
3,PARQUE LA CEJA,PANTALON COLOR,33
3,PARQUE LA CEJA,POLOS,11
3,PARQUE LA CEJA,TAPABOCAS,2
3,PLAZA FABRICATO,BLUSAS,10
3,PLAZA FABRICATO,BUSOS,1
3,PLAZA FABRICATO,CAMIBUSOS,11
3,PLAZA FABRICATO,CAMISAS,28
3,PLAZA FABRICATO,CAMISETAS,20
3,PLAZA FABRICATO,CORREAS,1
3,PLAZA FABRICATO,JEANS,95
3,PLAZA FABRICATO,JOGGER,8
3,PLAZA FABRICATO,PANTALON COLOR,45
3,PLAZA FABRICATO,POLOS,10
3,PLAZA FABRICATO,VESTIDOS,2
3,PREMIUM PLAZA,BERMUDA,1
3,PREMIUM PLAZA,BLUSAS,25
3,PREMIUM PLAZA,BUSOS,3
3,PREMIUM PLAZA,CAMIBUSOS,6
3,PREMIUM PLAZA,CAMISAS,24
3,PREMIUM PLAZA,CAMISETAS,25
3,PREMIUM PLAZA,CHAQUETAS,4
3,PREMIUM PLAZA,CORREAS,1
3,PREMIUM PLAZA,JEANS,118
3,PREMIUM PLAZA,JOGGER,15
3,PREMIUM PLAZA,PANTALON COLOR,73
3,PREMIUM PLAZA,POLOS,15
3,PREMIUM PLAZA,TAPABOCAS,1
3,PREMIUM PLAZA,VESTIDOS,2
3,PUERTA DEL NTE,BERMUDA,1
3,PUERTA DEL NTE,BLUSAS,37
3,PUERTA DEL NTE,BUSOS,3
3,PUERTA DEL NTE,CAMIBUSOS,3
3,PUERTA DEL NTE,CAMISAS,33
3,PUERTA DEL NTE,CAMISETAS,27
3,PUERTA DEL NTE,CHAQUETAS,2
3,PUERTA DEL NTE,CORREAS,2
3,PUERTA DEL NTE,JEANS,168
3,PUERTA DEL NTE,JOGGER,15
3,PUERTA DEL NTE,PANTALON COLOR,86
3,PUERTA DEL NTE,POLOS,20
3,PUERTA DEL NTE,TAPABOCAS,8
3,PUERTA DEL NTE,VESTIDOS,2
3,RIONEGRO,BERMUDA,1
3,RIONEGRO,BLUSAS,53
